word,severity
***,severe
*itches,severe
4r5e,severe
5h1t,severe
5hit,severe
God,severe
God damn,severe
Goddamn,severe
a**,severe
a*****es,severe
a****le,severe
a**clown,severe
a**holes,severe
a*s,severe
a-holes,severe
a-s-s,severe
a55,severe
a_s_s,severe
absurd,severe
absurdity,severe
abused,severe
abuser,severe
acismstupidity,severe
acist,severe
addict,severe
addicts,severe
adolf,severe
aggressive,severe
ahole,severe
aholes,severe
amoebas,severe
anal,severe
anti-american,severe
anti-catholic,severe
anti-french,severe
anti-israel,severe
anti-lgbt,severe
anti-military,severe
anti-religious,severe
antiamerican,severe
anticatholic,severe
antichrist,severe
antifrench,severe
antiisrael,severe
antilgbt,severe
antimilitary,severe
antireligious,severe
anus,severe
apd,severe
ar5e,severe
arrogant,severe
arrse,severe
arse,severe
arsehole,severe
asinine,severe
ass,severe
ass-fucker,severe
ass-hat,severe
ass-jabber,severe
ass-pirate,severe
assaultrape,severe
assaultsrape,severe
assbag,severe
assbandit,severe
assbanger,severe
assbite,severe
assclown,severe
asscock,severe
asscracker,severe
asses,severe
assface,severe
assfuck,severe
assfucker,severe
assfukka,severe
assgoblin,severe
asshat,severe
asshead,severe
asshole,severe
assholes,severe
asshopper,severe
assjacker,severe
asslick,severe
asslicker,severe
assmonkey,severe
assmunch,severe
assmuncher,severe
assnigger,severe
asspirate,severe
assshit,severe
assshole,severe
asssucker,severe
asswad,severe
asswhole,severe
asswipe,severe
atrocities,severe
attacker,severe
authoritarian,severe
axwound,severe
b!tch,severe
b*itch,severe
b00bs,severe
b17ch,severe
b1tch,severe
babbling,severe
badass,severe
baffoon,severe
ballbag,severe
balls,severe
ballsack,severe
baloney,severe
bammers,severe
bampot,severe
bang,severe
barbarians,severe
barbaric,severe
bassackward,severe
bastard,severe
bastardo,severe
bastardos,severe
bastards,severe
basterdization,severe
bat***,severe
baztarbs,severe
beaner,severe
beastial,severe
beastiality,severe
beaten,severe
beating,severe
beatings,severe
beeotc,severe
beeotch,severe
beezy,severe
bellend,severe
bellicose,severe
belligerent,severe
bestial,severe
bestiality,severe
betrayed,severe
bi+ch,severe
biatch,severe
bigot,severe
bigotry,severe
bigotryor,severe
bigots,severe
birther,severe
bitch,severe
bitchass,severe
bitcher,severe
bitchers,severe
bitches,severe
bitchin,severe
bitching,severe
bitchout,severe
bitchtits,severe
bitchy,severe
blackface,severe
blather,severe
blem,severe
blindness,severe
blood-sucking,severe
bloodsucking,severe
bloodthirsty,severe
bloody,severe
blow,severe
blow job,severe
blow-hard,severe
blowhard,severe
blowjob,severe
blowjobs,severe
blustering,severe
bogus,severe
boiolas,severe
bollock,severe
bollocks,severe
bollok,severe
bollox,severe
boneheaded,severe
boner,severe
bonkers,severe
boob,severe
boobs,severe
booobs,severe
boooobs,severe
booooobs,severe
booooooobs,severe
boor,severe
boorish,severe
boors,severe
boot-licking,severe
bootlicking,severe
bozo,severe
brain-dead,severe
braindead,severe
brat,severe
brats,severe
braying,severe
brays,severe
breasts,severe
brotherfucker,severe
bstard,severe
bstrd's,severe
buceta,severe
bucko,severe
buffoon,severe
buffoons,severe
bufoon,severe
bugger,severe
bulls**tter,severe
bullshit,severe
bullsshit,severe
bum,severe
bumblefuck,severe
bumbler,severe
bumbling,severe
bums,severe
bunglers,severe
bungling,severe
bunny fucker,severe
burn,severe
burning,severe
burns,severe
butch,severe
butt,severe
butt plug,severe
butt-pirate,severe
buttercup,severe
buttfucka,severe
buttfucker,severe
butthole,severe
buttholes,severe
buttmunch,severe
buttplug,severe
butts,severe
c0ck,severe
c0cksucker,severe
camel toe,severe
canucks,severe
carpet muncher,severe
carpetmuncher,severe
castrate,severe
castrated,severe
cawk,severe
cesspool,severe
charlatan,severe
charlatans,severe
chauvinist,severe
cheat,severe
cheating,severe
cheeto,severe
chesticle,severe
chick,severe
chicken,severe
chickens,severe
chickenshit,severe
childlike,severe
chinc,severe
chink,severe
choad,severe
chode,severe
choke,severe
chump,severe
chumps,severe
cipa,severe
cl1t,severe
clapper,severe
classless,severe
clit,severe
clitface,severe
clitfuck,severe
clitoris,severe
clits,severe
close-minded,severe
closeminded,severe
clown,severe
clown-beast,severe
clownbeast,severe
clowns,severe
clownshoe,severe
clueless,severe
clumsy,severe
cluster-fuck,severe
clusterfuck,severe
cnut,severe
cocaine,severe
cock,severe
cock-sucker,severe
cockass,severe
cockbite,severe
cockburger,severe
cockface,severe
cockfucker,severe
cockhead,severe
cockjockey,severe
cockknoker,severe
cockmaster,severe
cockmongler,severe
cockmongruel,severe
cockmonkey,severe
cockmunch,severe
cockmuncher,severe
cocknose,severe
cocknugget,severe
cockroach,severe
cockroaches,severe
cocks,severe
cockshit,severe
cocksmith,severe
cocksmoke,severe
cocksmoker,severe
cocksniffer,severe
cocksuck,severe
cocksucked,severe
cocksucker,severe
cocksucking,severe
cocksucks,severe
cocksuka,severe
cocksukka,severe
cockwaffle,severe
cojones,severe
cok,severe
coke,severe
cokmuncher,severe
coksucka,severe
commie,severe
comming,severe
communists,severe
con,severe
conman,severe
conniving,severe
coochie,severe
coochy,severe
coon,severe
cooter,severe
corrup,severe
corrupt,severe
corrupted,severe
corupt,severe
cow,severe
coward,severe
coward's,severe
cowardly,severe
cowards,severe
cox,severe
crack,severe
cracker,severe
crap,severe
crap-italism,severe
crapitalism,severe
crappy,severe
craw,severe
crazed,severe
crazies,severe
craziest,severe
crazy,severe
creep,severe
creeps,severe
creepy,severe
cretin,severe
cretinous,severe
cretins,severe
criminalmentally,severe
criminals,severe
cringing,severe
crock,severe
crook,severe
crooked,severe
crooks,severe
crotch,severe
crude,severe
cruel,severe
crybaby,severe
crypto-nazi,severe
cryptonazi,severe
crystal,severe
cuck,severe
cuckold,severe
culo,severe
cult,severe
cum,severe
cumbubble,severe
cumdumpster,severe
cumguzzler,severe
cumjockey,severe
cummer,severe
cumming,severe
cums,severe
cumshot,severe
cumslut,severe
cumtart,severe
cunilingus,severe
cunillingus,severe
cunnie,severe
cunnilingus,severe
cunt,severe
cuntass,severe
cuntface,severe
cunthole,severe
cuntlick,severe
cuntlicker,severe
cuntlicking,severe
cuntrag,severe
cunts,severe
cuntslut,severe
curmudgeon,severe
cursed,severe
cyalis,severe
cyberfuc,severe
cyberfuck,severe
cyberfucked,severe
cyberfucker,severe
cyberfuckers,severe
cyberfucking,severe
d*ck,severe
d*ckhead,severe
d-bag,severe
d1ck,severe
daft,severe
dago,severe
dammit,severe
damn,severe
damnable,severe
damned,severe
damning,severe
damnit,severe
darn,severe
darned,severe
dbag,severe
dck,severe
dead,severe
deadbeat,severe
dealer,severe
dealers,severe
deceitful,severe
deceptive,severe
degenerate,severe
degenerates,severe
deggo,severe
deluded,severe
delusive,severe
demagogue,severe
demented,severe
demon,severe
denglish,severe
deranged,severe
despicable,severe
detest,severe
deviant,severe
deviants,severe
devil,severe
diaperheads,severe
dick,severe
dick-sneeze,severe
dickbag,severe
dickbeaters,severe
dickface,severe
dickfuck,severe
dickfucker,severe
dickhead,severe
dickhole,severe
dickjuice,severe
dickmilk,severe
dickmonger,severe
dicks,severe
dickslap,severe
dicksucker,severe
dicksucking,severe
dicktickler,severe
dickwad,severe
dickweasel,severe
dickweed,severe
dickwod,severe
dictator,severe
dictatorship,severe
die-hard,severe
diehard,severe
dike,severe
dildo,severe
dildos,severe
dimwit,severe
dimwitted,severe
dink,severe
dinks,severe
dipshit,severe
dirsa,severe
dirtbag,severe
dirty,severe
disease,severe
disgrace,severe
disgraceful,severe
disgust,severe
disgusted,severe
disgusti,severe
disgusting,severe
dishonest,severe
dlck,severe
dog-fucker,severe
doggin,severe
dogging,severe
dolt,severe
donkey,severe
donkeyribber,severe
donkeys,severe
donutholes,severe
doochbag,severe
doofu,severe
dookie,severe
doosh,severe
dope,severe
dopers,severe
dork,severe
dotard,severe
douche,severe
douche-fag,severe
douchebag,severe
douchebags,severe
douchewaffle,severe
doyle,severe
drugged,severe
druggie,severe
drumpf,severe
drunken,severe
duche,severe
duh,severe
dullard,severe
dumass,severe
dumb,severe
dumb ass,severe
dumb*asses,severe
dumba,severe
dumbass,severe
dumbasses,severe
dumbed,severe
dumbed-down,severe
dumbeddown,severe
dumber,severe
dumbest,severe
dumbfuck,severe
dumbie,severe
dumbness,severe
dumbs,severe
dumbshit,severe
dumbweazy,severe
dummazz,severe
dummy,severe
dummycrats,severe
dumpster,severe
dumshit,severe
dunce,severe
dunderheads,severe
duplicitous,severe
dweeb,severe
dweebs,severe
dyke,severe
eco-radicals,severe
ecoradicals,severe
egocentric,severe
egomaniac,severe
egotist,severe
egotistical,severe
ejaculate,severe
ejaculated,severe
ejaculates,severe
ejaculating,severe
ejaculatings,severe
ejaculation,severe
ejakulate,severe
ell,severe
emasculated,severe
embarrassent,severe
embarrassmen,severe
embarrassment,severe
ent,severe
eradicated,severe
estupidos,severe
evil,severe
excrement,severe
executed,severe
executes,severe
executioners,severe
executions,severe
expulsive,severe
exterminate,severe
exterminated,severe
extremist,severe
f,severe
f u c k,severe
f u c k e r,severe
f'king,severe
f'n,severe
f***,severe
f******,severe
f****ing,severe
f***ing,severe
f**k,severe
f*c*,severe
f*ck,severe
f*ckin,severe
f*uck,severe
f-----g,severe
f--k,severe
f--king,severe
f-ing,severe
f-you,severe
f4nny,severe
f_u_c_k,severe
fabricator,severe
fag,severe
fagbag,severe
fagfucker,severe
fagging,severe
faggit,severe
faggitt,severe
faggot,severe
faggotcock,severe
faggs,severe
fagot,severe
fagots,severe
fags,severe
fagtard,severe
fails,severe
fake,severe
fake-news,severe
fakenews,severe
fanatical,severe
fanatics,severe
fanboy,severe
fanny,severe
fannyflaps,severe
fannyfucker,severe
fanyy,severe
fart,severe
fascist,severe
fascists,severe
fashy,severe
fat,severe
fatass,severe
fatties,severe
fck,severe
fcuk,severe
fcuker,severe
fcuking,severe
fecal,severe
feces,severe
feck,severe
fecker,severe
feckless,severe
fedup,severe
feeble-minded,severe
feebleminded,severe
felching,severe
fellate,severe
fellatio,severe
felon,severe
feltch,severe
feminazis,severe
fetid,severe
fg,severe
filth,severe
filthy,severe
fing,severe
fingerfuck,severe
fingerfucked,severe
fingerfucker,severe
fingerfuckers,severe
fingerfucking,severe
fingerfucks,severe
fink,severe
fistfuck,severe
fistfucked,severe
fistfucker,severe
fistfuckers,severe
fistfucking,severe
fistfuckings,severe
fistfucks,severe
fk,severe
fking,severe
fkn,severe
flamer,severe
flange,severe
fo,severe
fook,severe
fooker,severe
fool,severe
fool's,severe
fooled,severe
foolish,severe
foolishness,severe
fools,severe
fornicating,severe
fornicator,severe
foul,severe
foul-mouthed,severe
foulmouthed,severe
foxy,severe
fraudulent,severe
freak,severe
freakin,severe
freakin',severe
freaking,severe
freaks,severe
